id;name;regular_price;promo_price;brand;city
2138001;"Кофе в зернах Jardin ""Americano Crema"", 250 г";416.00;;Jardin;Санкт-Петербург
2239409;Кофе молотый Poetti Soul of Istanbul, натуральный, жареный, 200 г;481.00;;Poetti;Санкт-Петербург
2890650;Кофе молотый MONARCH ORIGINAL, натуральный, жареный, 70 г;190.00;;MONARCH;Санкт-Петербург
3171655;Кофе в дрип-пакетах GUSTORIA АРКАНУМ 100% арабика, 6*10гр;409.00;;GUSTORIA;Санкт-Петербург
2562251;Кофе в зернах Poetti Daily Arabica Dark Sensation, 750 г;1409.00;;Poetti;Санкт-Петербург
2597849;Кофейный напиток MacCoffee Original 3в1, растворимый, 100 штук по 20г;1561.00;;MacCoffee;Санкт-Петербург
2845182;Kофе в зернах Московская кофейня на Паяхъ Коломбо;489.00;;Московская;Санкт-Петербург
2567077;Кофе молотый Coffesso JEZVA GOLD, 200 г;383.00;;Coffesso;Санкт-Петербург
2824253;Кофе растворимый DArte Original, сублимированный, 100 г;420.00;;DArte;Санкт-Петербург
2046023;Кофейный напиток MacCoffee Original 3в1 растворимый 25  пакетиков по 20г;399.00;;MacCoffee;Санкт-Петербург
3583467;Кофе в зернах Alta Roma Vero 250г;434.00;;Alta;Санкт-Петербург
5798340;Кофе растворимый Tibio Exclusive Арабика, сублимированный, 75 г;295.00;;Tibio;Санкт-Петербург
5938964;Кофе  растворимый MONARCH ORIGINAL сублимированный ,170г;569.00;;MONARCH;Санкт-Петербург
5938947;Кофе растворимый MONARCH CINNAMON (КОРИЦА)порошкообразный с молотой корицей , 90г;420.00;;MONARCH;Санкт-Петербург
2641179;Кофе в зернах Jardin Espresso Di Milano, 250 г;480.00;;Jardin;Санкт-Петербург
3081206;Кофейный напиток KOPIKO CLASSIC 3в1, 20 саше;325.00;;KOPIKO;Санкт-Петербург
2287673;Кофе молотый EGOISTE Captain, полимерная упаковка, 250г;680.00;;EGOISTE;Санкт-Петербург
2287681;Кофе в зернах EGOISTE Voyage полимерная упаковка, 250г;650.00;;EGOISTE;Санкт-Петербург
2612221;Кофе в капсулах Московская кофейня на Паяхъ Арабика, 50 штук, 5 г;1300.00;;Московская;Санкт-Петербург
